player_id,player,team,position,nineties,completed_passes,attempted_passes,completion_pct
5bc43860,Brenden Aaronson,USA,MF,0.8,,,
c88a28b9,Thelo Aasgaard,Norway,MF,1.0,,,
accbfc94,Hossam Abdelmaguid,Egypt,DF,0.7,,,
bff15d74,Mohamed Abdelmonem,Egypt,DF,0.2,,,
ad7cdb35,Ali Abdi,Tunisia,DF,3.0,,,
caa254e4,Saud Abdulhamid,Saudi Arabia,DF,3.0,,,
03053fbf,Abdulla Abdullaev,Uzbekistan,DF,2.0,,,
300aaeb6,Husam Abu Dahab,Jordan,DF,2.0,,,
72c2fa7a,Mohammad Abu Hasheesh,Jordan,DF,0.1,,,
5c4bac6c,Mohannad Abu Taha,Jordan,DF,2.9,,,
4bff62e4,Mo Abualnadi,Jordan,DF,0.8,,,
259affab,Jayden Adams,South Africa,MF,1.3,,,
2b09d998,Tyler Adams,USA,MF,3.8,,,
a9ee5e81,Ricardo Adé,Haiti,DF,3.0,,,
bdbf78cd,Jonas Adjetey,Ghana,DF,2.5,,,
75f1ed80,Emmanuel Agbadou,Côte d'Ivoire,DF,3.0,,,
540a5be1,Ali Ahmed,Canada,MF,2.6,,,
a62fa158,Homam Ahmed,Qatar,DF,1.4,,,
9b398aea,Rayan Aït-Nouri,Algeria,DF,3.2,,,
a8c0acb7,Kristoffer Ajer,Norway,DF,5.3,,,
89ac64a6,Manuel Akanji,Switzerland,DF,6.7,,,
eaeca114,Nathan Aké,Netherlands,DF,1.9,,,
1453e3cf,Yunus Akgün,Türkiye,MF,1.0,,,
b625b241,Maghnes Akliouche,France,MF,0.1,,,
05439de2,David Alaba,Austria,DF,3.1,,,
f3d9291e,Kerim Alajbegović,Bosnia–Herz,MF,3.1,,,
6e98c19f,Jordy Alcivar,Ecuador,MF,0.5,,,
bb08bce9,Omar Alderete,Paraguay,DF,3.6,,,
b8a919ad,Hussein Ali,Iraq,DF,1.8,,,
e53cbd7a,Khojiakbar Alijonov,Uzbekistan,MF,1.5,,,
27f33438,Thiago Almada,Argentina,MF,2.7,,,
b18a3023,Júnior Alonso,Paraguay,DF,4.3,,,
c5a07a5e,Ayoube Amaimouni,Morocco,MF,0.2,,,
555d5edd,Nadiem Amiri,Germany,MF,0.5,,,
9f65be73,Amir Al Ammari,Iraq,MF,2.7,,,
5a2cb25d,Sofyan Amrabat,Morocco,MF,1.6,,,
fd0affe3,Abdulelah Al-Amri,Saudi Arabia,DF,2.7,,,
10c12f22,Youssef Amyn,Iraq,MF,0.3,,,
de31038e,Elliot Anderson,England,MF,7.0,,,
6ea23758,Andrés Andrade Cedeño,Panama,DF,3.0,,,
3724baa1,Fredrik André Bjørkan,Norway,DF,0.5,,,
a9b9d89c,Nilson Angulo,Ecuador,MF,2.4,,,
a5db0bec,Houssem Aouar,Algeria,MF,1.9,,,
32878a09,Yazan Al-Arab,Jordan,DF,3.0,,,
0fa11d7d,Tomás Araújo,Portugal,DF,1.0,,,
c692cef2,Telmo Arcanjo,Cabo Verde,MF,0.6,,,
86d96066,Jhon Arias,Colombia,MF,4.2,,,
fdd60087,Santiago Arias,Colombia,DF,1.0,,,
31b7d437,Emam Ashour,Egypt,MF,4.0,,,
a0ecd397,Rustam Ashurmatov,Uzbekistan,DF,2.8,,,
1ea3d7ec,Marwan Attia,Egypt,MF,4.8,,,
f173303a,Yasin Ayari,Sweden,MF,3.8,,,
a7b98226,Oğuz Aydın,Türkiye,DF,1.0,,,
17e1261b,Neil El Aynaoui,Morocco,MF,6.2,,,
3a46ac67,Ali Azaizeh,Jordan,MF,0.6,,,
aaf1bf05,Juninho Bacuna,Curaçao,MF,2.8,,,
9dc69d38,Leandro Bacuna,Curaçao,MF,3.0,,,
dff24174,Esmir Bajraktarevic,Bosnia–Herz,MF,2.6,,,
